,home_team_points_last_5,away_team_points_last_5,home_goals_scored_avg,away_goals_scored_avg,home_advantage,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_days_rest,away_days_rest,home_matches_last_14_days,away_matches_last_14_days,home_had_midweek_match,away_had_midweek_match,home_days_since_last_match,away_days_since_last_match,home_attacking_pressure_score_last5,home_attacking_pressure_score_last10,home_attacking_pressure_score_season,away_attacking_pressure_score_last5,away_attacking_pressure_score_last10,away_attacking_pressure_score_season,home_points_last_5_home_matches,away_points_last_5_away_matches,home_xg_last_5_home_matches,away_xg_last_5_away_matches,home_xga_last_5_home_matches,away_xga_last_5_away_matches,home_goal_diff_home_matches,away_goal_diff_away_matches
away_attacking_pressure_score_last5,0.020733346386017246,0.26513490412520996,0.01107677877265002,0.343789369178704,,0.0036251601221563286,0.41357618734564194,0.04709775669470638,0.1683276392702466,0.025587395139675728,0.35284587051189575,0.019144680613054636,0.02234304778222084,0.030231934890688785,0.018656696474520215,0.019312765110369844,0.05005539928649709,0.019144680613054636,0.02234304778222084,0.03949478399263508,0.04168717153021132,0.0552218277920303,1.0,0.862390847026341,0.8100204493650142,0.013747919643033948,0.20846292766102203,0.0171357343077841,0.2951201441914746,0.016511993295373704,0.10459110045885955,0.0029198623984001545,0.23537292175546914
away_attacking_pressure_score_last10,0.0011044529438208898,0.2549722607145783,0.0038933071510162095,0.32439416294121154,,0.007897561376200325,0.38022000453432325,0.03210090300360049,0.15305290172842417,0.014087415728050959,0.3233964397036524,0.011126206476049014,0.008516835828289764,0.02355689017752953,0.020446677651832532,0.0057990477571950375,0.03872965415663539,0.011126206476049014,0.008516835828289764,0.0427902119002247,0.04799525732702336,0.061529427409786216,0.862390847026341,1.0,0.8815071041572157,0.016295004219973507,0.23389899260977537,0.020695078062872928,0.3505100377984412,0.026478654214642655,0.10770965879008211,9.353351993890802e-05,0.26555312938844083
away_attacking_pressure_score_season,0.023339543731114437,0.24841411724841098,0.01900086629444226,0.3047606589686452,,0.0015569060306659616,0.3672674083653712,0.03327504172661085,0.15290354677283188,0.0203698571817849,0.31423418048599905,0.015121733134168633,0.014362553060681696,0.01579979713294071,0.022495423362951263,0.0027387753856117987,0.02989673381689114,0.015121733134168633,0.014362553060681696,0.04624989411672447,0.04739431199712882,0.061256813969882314,0.8100204493650142,0.8815071041572157,1.0,0.012022677013684214,0.22911017989360283,0.006310454513028011,0.32941515002779,0.03831398324520994,0.11219765243397993,0.014971607558737296,0.2544540350388922
home_points_last_5_home_matches,0.6721208324220451,0.048596014263027405,0.5259108718633014,0.04336499916124904,,0.5299201896627801,0.05470346141785315,0.3402358055429194,0.02261877501533615,0.5366920509009173,0.020777819519506354,0.030300089515451507,0.005160997994681254,0.05565385264129751,0.03082781997095101,0.017884857109258093,0.002338561157205409,0.030300089515451507,0.005160997994681254,0.2274213668758169,0.24736157696705222,0.2586643131199473,0.013747919643033948,0.016295004219973507,0.012022677013684214,1.0,0.06701462763231437,0.6289371213926962,0.07424683597783147,0.45350787269175874,0.040897014853472136,0.8474528854442215,0.011486953128550706
away_points_last_5_away_matches,0.06300464229511517,0.6527356267154212,0.01802038112642515,0.4821916460172039,,0.014465924195862723,0.4925190391365418,0.001695458157141478,0.3973621080432084,0.010088660874516778,0.544208773995668,0.026199150785551933,0.0035792487220434703,0.01540035770149815,0.014454670789755184,0.004703455725647823,0.051909076687517236,0.026199150785551933,0.0035792487220434703,0.05276042456781139,0.038376168529853795,0.022926196197016975,0.20846292766102203,0.23389899260977537,0.22911017989360283,0.06701462763231437,1.0,0.038253532378819906,0.604999412549389,0.032206603046445785,0.4651718435377801,0.02107778793414546,0.8409128093263446
home_xg_last_5_home_matches,0.5337333817231703,0.030662321486950316,0.5845609214202291,0.0488290372478835,,0.7608567958273104,0.08596861264539984,0.2500255445735693,0.06938121982562731,0.6272799174358088,0.012547438049656268,0.030271140259592336,0.014582137690933097,0.03894513424620669,0.025832140150518126,0.008735421278261848,0.02686573989815702,0.030271140259592336,0.014582137690933097,0.3424711756166664,0.3739228993229675,0.34995821072405936,0.0171357343077841,0.020695078062872928,0.006310454513028011,0.6289371213926962,0.038253532378819906,1.0,0.10134854072284523,0.32234005104944197,0.09647553817202778,0.6465614087124611,0.008165613155579364
away_xg_last_5_away_matches,0.059976966845729104,0.47862292898215547,0.046170111222407946,0.5243061511774858,,0.059646327194312204,0.7003231599591596,0.052485834369234007,0.28694988309953884,0.005859565034144434,0.6085859342838471,0.0067920774320984,0.020060219859750934,0.009696431985753061,0.012342221638357088,0.027361377221439973,0.027003049158808794,0.0067920774320984,0.020060219859750934,0.011204983878929303,0.002696290525175901,0.011004936836468275,0.2951201441914746,0.3505100377984412,0.32941515002779,0.07424683597783147,0.604999412549389,0.10134854072284523,1.0,0.05638656557064986,0.2693379040406904,0.03685889791101552,0.6332989591846229
home_xga_last_5_home_matches,0.37947985009693924,0.036963434688364875,0.2657177926098906,0.027860421725228002,,0.31341954640555425,0.04678305991926678,0.6546444880986724,0.07079468338537401,0.5898716494673948,0.012804152497675901,0.05207471231358097,0.012382517695879015,0.006440969618656608,0.012507610825660317,0.003775365229734447,0.01686393982641687,0.05207471231358097,0.012382517695879015,0.1426609360439239,0.15853439310778542,0.14423377430945783,0.016511993295373704,0.026478654214642655,0.03831398324520994,0.45350787269175874,0.032206603046445785,0.32234005104944197,0.05638656557064986,1.0,0.14141607179213547,0.6355418145530638,0.026811241819298528
away_xga_last_5_away_matches,0.013347533955001996,0.33626064344730133,0.035080291935033744,0.20386226681889205,,0.06574566369514245,0.22595080124714645,0.12785383541757478,0.6725737998105271,0.03560337985634773,0.5410016755728608,0.03540849723376276,0.01548634990835855,0.04049163703923124,0.01620108179001016,0.007166870699497123,0.03028247451603364,0.03540849723376276,0.01548634990835855,0.09605930781008594,0.08826894390458019,0.08101709342298194,0.10459110045885955,0.10770965879008211,0.11219765243397993,0.040897014853472136,0.4651718435377801,0.09647553817202778,0.2693379040406904,0.14141607179213547,1.0,0.02766341178652709,0.614780097423704
home_goal_diff_home_matches,0.6191371224040108,0.012953053786812841,0.5800950956567708,0.024080786914621462,,0.5539326071775331,0.02718119965330781,0.4575123866268779,0.012908797522641758,0.6222165940441116,0.024673393441154115,0.05563428506300569,0.008569184598203232,0.021356178850115204,0.00423460607609276,0.0039265408378540085,0.019628873624920586,0.05563428506300569,0.008569184598203232,0.22619034419414993,0.25262142339590055,0.25301343845275465,0.0029198623984001545,9.353351993890802e-05,0.014971607558737296,0.8474528854442215,0.02107778793414546,0.6465614087124611,0.03685889791101552,0.6355418145530638,0.02766341178652709,1.0,0.029929773552275052
