,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_xg_attack_rating,away_xg_attack_rating,home_xg_defense_rating,away_xg_defense_rating,home_attack_vs_away_defense,away_attack_vs_home_defense,attack_defense_matchup_score,home_xg_attack_rating_last5,away_xg_attack_rating_last5,home_xg_defense_rating_last5,away_xg_defense_rating_last5,home_xg_attack_rating_last10,away_xg_attack_rating_last10,home_xg_defense_rating_last10,away_xg_defense_rating_last10,home_xg_attack_rating_season,away_xg_attack_rating_season,home_xg_defense_rating_season,away_xg_defense_rating_season,expected_home_goals_model,expected_away_goals_model,expected_goal_diff_model,poisson_home_win_prob,poisson_draw_prob,poisson_away_win_prob
away_attack_vs_home_defense,-0.1000885808235543,0.32448310288308835,0.28923002941433956,-0.12904282844621942,-0.2365464272577748,0.27965437028246015,-0.20324534925068485,0.7304073868948769,0.6559514955099872,-0.2713086906152489,-0.3119985532918905,1.0,-0.8224134701584906,-0.20191203946371616,0.6704209273008892,0.6029182405827541,-0.2558652100763909,-0.21255758060289462,0.6205128832627855,0.5266274077262081,-0.29171706507980427,-0.21856269106578854,0.5450353311050392,0.45844795800789806,-0.29295410144279793,-0.3119453389660327,0.9950854018510221,-0.7611007954049398,-0.6974933375377529,-0.24137630153469464,0.8303239264833538
attack_defense_matchup_score,0.24149350565742633,-0.27421239264252906,-0.24714132180754264,0.2626093410065324,0.29991469934908765,-0.32757776056933646,0.5583447467977616,-0.6044077748531478,-0.5614389269877502,0.578744680563679,0.7970845004439715,-0.8224134701584906,1.0,0.5208770462641904,-0.5682499675907693,-0.52748353034443,0.526769616400023,0.4972567146312208,-0.5420764081898902,-0.5015847095752407,0.5063072769866483,0.46591929944544114,-0.47819677747587447,-0.4548261301124754,0.4695223583280118,0.7898629421011977,-0.8210924390452785,0.9893253553810882,0.9526096485341013,-0.24670931412812028,-0.956722406001269
home_xg_attack_rating_last5,0.42232937487218847,-0.009339854622060197,-0.15075556424515243,0.07457129702758188,0.3553795043286636,-0.050154793907420545,0.9182806126308849,-0.006742098434287155,-0.3171669025307635,0.026752270985749456,0.6555711745905244,-0.20191203946371616,0.5208770462641904,1.0,-0.01887780353362338,-0.3421996014143069,0.017442528622815322,0.8523294704857064,-0.014465832794284145,-0.3800159710165746,0.021716250377604017,0.767203244835937,0.0010696638415785286,-0.3774166310950156,0.007766957571965318,0.6574507005068948,-0.2042412080895613,0.5588867256456044,0.5793544744085679,-0.4378601648075696,-0.49331801773144485
away_xg_attack_rating_last5,-0.02186345322936202,0.44041986418497187,0.05050709731965171,-0.1589014408077696,-0.044056728230022935,0.3699189492138883,-0.01441960443427935,0.9185362296220276,0.025279534593163806,-0.35256649535332596,-0.23737232498971797,0.6704209273008892,-0.5682499675907693,-0.01887780353362338,1.0,0.038905118630589194,-0.36132414774222027,-0.0277319359695834,0.8543628756278071,0.033592188720239335,-0.39641276079174315,-0.023592893804032358,0.7566306060449252,0.01743506557955015,-0.39460939416729035,-0.23476801128670924,0.6700011999616179,-0.5292390027449079,-0.5007107540756939,-0.13699489842830737,0.5849049941563764
home_xg_defense_rating_last5,-0.14361722940383986,0.03934787157757872,0.4001302143423998,-0.03348163508416732,-0.3304758735602706,0.04450897339030783,-0.3296729614220233,0.042384565559366975,0.9033682266998804,-0.01670699530106306,-0.24094281353292538,0.6029182405827541,-0.52748353034443,-0.3421996014143069,0.038905118630589194,1.0,-0.005416143745158663,-0.35695943183385526,0.04538890714463555,0.8240056468622677,-0.004980029131692345,-0.3512772369043543,0.012162468843385763,0.7053968843488141,-0.0067376526645757575,-0.24351125073380653,0.6051183393844789,-0.49934720366801805,-0.48279059287839887,-0.044447038619285895,0.537010449335313
away_xg_defense_rating_last5,0.02521161332435215,-0.18014889574472998,-0.005211652982770576,0.392128393600897,0.018938840548649916,-0.3457024075694313,0.023239882169673178,-0.3502175681336219,-0.008917133069457756,0.9032604067834222,0.6081417193505365,-0.2558652100763909,0.526769616400023,0.017442528622815322,-0.36132414774222027,-0.005416143745158663,1.0,0.03347327173886805,-0.3739784806137622,-0.027828094894403944,0.8233014017178353,0.02713456167605025,-0.34965364768122353,-0.016630470220115386,0.723986655505779,0.6076712244522042,-0.2587956077778335,0.555230397481679,0.568297258889606,-0.35343507985291395,-0.5073028120083705
home_xg_attack_rating_last10,0.37638987780707595,-0.019542033352912408,-0.14866294788076556,0.09406922253231097,0.32531879221489113,-0.06812278366303194,0.8356721178697835,-0.007861432723678573,-0.3353732744250529,0.03667787914291219,0.6048236599079188,-0.21255758060289462,0.4972567146312208,0.8523294704857064,-0.0277319359695834,-0.35695943183385526,0.03347327173886805,1.0,-0.031135286983902465,-0.4422729806777625,0.03773848574754437,0.8489177820242413,-0.004536062909405613,-0.4235537509574453,0.0223021969833411,0.6090520740877565,-0.21438730216570945,0.5316476781553392,0.5550828661817319,-0.39393295107791393,-0.4805207469943293
away_xg_attack_rating_last10,-0.028121498588447792,0.3898418106849623,0.039841687611208536,-0.1684664033243954,-0.04157178679515076,0.3439647306170575,-0.011574400608403113,0.835043149194658,0.03676993330853338,-0.3678153351584162,-0.24663741153967036,0.6205128832627855,-0.5420764081898902,-0.014465832794284145,0.8543628756278071,0.04538890714463555,-0.3739784806137622,-0.031135286983902465,1.0,0.040706958346670034,-0.45547208766483277,-0.019696262479481794,0.8364853446088094,0.022551375714329545,-0.4466621913252514,-0.24397149221998496,0.6186341724985145,-0.5071221654140907,-0.4839657532193236,-0.10842574255135927,0.5579652868176395
home_xg_defense_rating_last10,-0.176032033919803,0.036951877562148766,0.34806219894243984,-0.0387063361047643,-0.31951278579981157,0.046114882063001454,-0.3745694995615026,0.028674462003766214,0.7962560208849399,-0.0326846712330364,-0.2786716352017289,0.5266274077262081,-0.5015847095752407,-0.3800159710165746,0.033592188720239335,0.8240056468622677,-0.027828094894403944,-0.4422729806777625,0.040706958346670034,1.0,-0.03980833867162597,-0.42128556082055857,0.014342017555242037,0.7978225917093026,-0.024780261729297894,-0.2826289246216806,0.5284859205710213,-0.4835787044014429,-0.4766095496857424,0.012869885447234882,0.5126785913570854
away_xg_defense_rating_last10,0.03708766436483943,-0.2105444705917708,-0.010171833439574373,0.34688548884946,0.02936540048739153,-0.337831036792779,0.021321249594059056,-0.3956291814565151,-0.011391835921081261,0.803805261183961,0.535912155900534,-0.29171706507980427,0.5063072769866483,0.021716250377604017,-0.39641276079174315,-0.004980029131692345,0.8233014017178353,0.03773848574754437,-0.45547208766483277,-0.03980833867162597,1.0,0.02305321460738404,-0.41518744432676213,-0.015550182577740865,0.8103019663458011,0.538220210412676,-0.29375846542634876,0.5274085287685466,0.5351869624664565,-0.2774474840324805,-0.49478687675616434
