Season,Date,HomeTeam,AwayTeam,FTR,odds_source,market_mode,match,actual,model_pick,market_pick,model_confidence,market_confidence,model_market_disagree,model_home_prob,market_home_prob,model_vs_market_home_edge,model_draw_prob,market_draw_prob,model_vs_market_draw_edge,model_away_prob,market_away_prob,model_vs_market_away_edge,max_abs_edge,model_correct,market_correct,model_log_loss,market_log_loss,log_loss_difference_model_minus_market,edge_correct
2425,2024-12-05,Fulham,Brighton,H,average closing odds,benchmark,Fulham vs Brighton,home_win,home_win,home_win,0.56745774,0.3698634393400345,False,0.56745774,0.3698634393400345,0.19759429619844815,0.1669007,0.26861590566594684,-0.10171521129567707,0.26564154,0.3615206549940187,-0.09587911470509353,0.19759429619844815,True,True,0.566589,0.9946214243364828,-0.42803242649560147,True
2324,2024-05-02,Chelsea,Tottenham,H,average closing odds,benchmark,Chelsea vs Tottenham,home_win,home_win,home_win,0.5879834,0.3904490163688242,False,0.5879834,0.3904490163688242,0.1975344130630911,0.1705476,0.24012614506682686,-0.06957854050597481,0.24146897,0.369424838564349,-0.12795587255711632,0.1975344130630911,True,True,0.5310565,0.9404578781010489,-0.4094013547779898,True
2425,2024-11-23,Everton,Brentford,D,average closing odds,benchmark,Everton vs Brentford,draw,away_win,home_win,0.5048727,0.40779400994487913,True,0.25596842,0.40779400994487913,-0.15182558824726256,0.23915896,0.2847319122692056,-0.045572954072565564,0.5048727,0.30747407778591523,0.19739860192447295,0.19739860192447295,False,False,1.4306269,1.2562072001150673,0.1744196690865929,False
2324,2024-04-06,Wolves,West Ham,A,average closing odds,benchmark,Wolves vs West Ham,away_win,home_win,away_win,0.5365043,0.38297118564005667,True,0.5365043,0.3395134624468587,0.1969908658040263,0.15968929,0.2775153519130845,-0.11782605960141612,0.30380633,0.38297118564005667,-0.07916485090609365,0.1969908658040263,False,True,1.1913649,0.9597955259474379,0.231569358429088,False
2324,2024-04-06,Everton,Burnley,H,average closing odds,benchmark,Everton vs Burnley,home_win,home_win,home_win,0.42989296,0.5468932120498432,False,0.42989296,0.5468932120498432,-0.11700025483930243,0.16966794,0.2474375458117542,-0.07776960149965856,0.40043905,0.20566924213840254,0.19476981163547746,0.19476981163547746,True,True,0.844219,0.6035017203907596,0.240717308558978,False
2425,2024-09-22,Brighton,Nott'm Forest,D,average closing odds,benchmark,Brighton vs Nott'm Forest,draw,away_win,home_win,0.41554546,0.5220272177516581,True,0.37062925,0.5220272177516581,-0.15139796674839268,0.21382532,0.2561413548434802,-0.04231603960643493,0.41554546,0.22183142740486164,0.19371403615715008,0.19371403615715008,False,False,1.5425959,1.362025819533532,0.1805700438087532,False
2425,2025-04-12,Man City,Crystal Palace,H,average closing odds,benchmark,Man City vs Crystal Palace,home_win,home_win,home_win,0.42688233,0.5884357483437667,False,0.42688233,0.5884357483437667,-0.16155342174083087,0.1939282,0.22568241642360934,-0.03175421939735659,0.3791895,0.18588183523262397,0.19330765603934869,0.19330765603934869,True,True,0.8512469,0.5302875369274205,0.32095935647849383,False
2425,2025-03-15,Man City,Brighton,D,average closing odds,benchmark,Man City vs Brighton,draw,away_win,home_win,0.3651813,0.5304262883638913,True,0.33727705,0.5304262883638913,-0.19314923357720915,0.29754165,0.23823116177137546,0.059310486378114896,0.3651813,0.23134254986473327,0.13383874719909425,0.19314923357720915,False,False,1.2122011,1.4345138087392224,-0.22231269026998413,False
2425,2025-02-27,West Ham,Leicester,H,average closing odds,benchmark,West Ham vs Leicester,home_win,home_win,home_win,0.41055125,0.5433113687244514,False,0.41055125,0.5433113687244514,-0.1327601187435249,0.19606096,0.25508252589980873,-0.05902157037536415,0.39338785,0.20160610537573984,0.19178174872353385,0.19178174872353385,True,True,0.8902545,0.6100727003270966,0.2801817972009796,False
2425,2025-01-15,Everton,Aston Villa,A,average closing odds,benchmark,Everton vs Aston Villa,away_win,draw,away_win,0.49929363,0.417644584566584,True,0.22528796,0.27482933869467735,-0.04954137971507072,0.49929363,0.30752607673873866,0.19176754861602818,0.27541837,0.417644584566584,-0.14222621360444104,0.19176754861602818,False,True,1.289464,0.8731244843036882,0.41633951258351887,False
