,home_team_points_last_5,away_team_points_last_5,home_goals_scored_avg,away_goals_scored_avg,home_advantage,home_xg_avg,away_xg_avg,home_xga_avg,away_xga_avg,home_xg_diff,away_xg_diff,home_days_rest,away_days_rest,home_matches_last_14_days,away_matches_last_14_days,home_had_midweek_match,away_had_midweek_match,home_days_since_last_match,away_days_since_last_match,home_elo,away_elo,elo_difference,elo_ratio,elo_gap_bucket,elo_recent_change,home_elo_trend,away_elo_trend,rolling_elo_form
away_matches_last_14_days,0.025539162260145874,0.019673993745698743,0.024446140874825783,0.016838791429383364,,0.006710030360027304,0.007432878684712246,0.012376511573254118,0.01762577831007175,0.003229721311689172,0.01512322966848,0.2503217099000423,0.3908300503491974,0.7693770321756471,1.0,0.3050195869757688,0.3930009280450143,0.2503217099000423,0.3908300503491974,0.023630333275005366,0.022846660064523155,0.0004913865181553819,0.0008929749312514716,0.0029885932175678282,0.007547123062354057,0.015656282696629022,0.004811068972424588,0.007547123062354057
home_had_midweek_match,0.009547016913139845,0.0066516831292475825,0.04640472613197333,0.03051937961613929,,0.04947770189404608,0.021500747924651432,0.024679969597765927,0.035717967855449555,0.01619199519228792,0.007775339237275102,0.08841978119056784,0.10883688023263481,0.403412554564912,0.3050195869757688,1.0,0.6683794680419731,0.08841978119056786,0.10883688023263483,0.04970261257690192,0.0052628972359021805,0.031100425691133707,0.028818834598454444,0.022913517920348965,0.021338160358814272,0.022402668892257158,0.007937179800488574,0.021338160358814272
away_had_midweek_match,0.025970131042464432,0.06896683335303512,0.053431570043483353,0.03163008976315306,,0.06971117967598534,0.03657980961887097,0.0009659893783114754,0.06800401324469113,0.0431273066606425,0.06329168188584214,0.0697229983125192,0.14419839023403952,0.3197191399245761,0.3930009280450143,0.6683794680419731,1.0,0.0697229983125192,0.14419839023403952,0.06045300678272706,0.0359259697297772,0.067567992447544,0.06544916897519795,0.06401891234451476,0.037985446029720905,0.03506963447384715,0.01886920898216849,0.037985446029720905
home_days_since_last_match,0.034331629046120304,0.029642199910203806,0.027161599663847628,0.017096681985469674,,0.017552600953520202,0.0005848787244368083,0.03913055675073612,0.010693025445564126,0.034517959393743705,0.005988251112441065,1.0,0.4473613412251197,0.26222619005059,0.2503217099000423,0.08841978119056786,0.0697229983125192,1.0,0.4473613412251197,0.033095281222310674,0.019967502787522472,0.037200967919738655,0.036451925811381604,0.03409239387175856,0.033918702485576865,0.03740279257084035,0.010851290523283904,0.033918702485576865
away_days_since_last_match,0.019737985425415105,0.00370976689398164,0.0021934022850434785,0.026340370621214967,,0.021540509012640683,0.014038271383326157,0.011203268161310823,0.041786402175703646,0.00677372072813329,0.016049370517858843,0.4473613412251197,1.0,0.3625425074179125,0.3908300503491974,0.10883688023263483,0.14419839023403952,0.4473613412251197,1.0,0.0013005442700379153,0.0003046533444886626,0.0011246125184154864,0.0013898390706228488,0.0006375211980382042,0.004324377000706572,0.012107678412670422,0.005847193736135538,0.004324377000706572
home_elo,0.3199659502127392,0.04087667834562357,0.2902490998396084,0.02238705221445556,,0.32365322729888735,0.01596857073350579,0.1950162745294378,0.07673594263320194,0.32010657807721443,0.035609955528951145,0.033095281222310674,0.0013005442700379153,0.006606225342186118,0.023630333275005366,0.04970261257690192,0.06045300678272706,0.033095281222310674,0.0013005442700379153,1.0,0.016379840174386096,0.7116401041488987,0.716446467324889,0.6873850016829753,0.14040745944926467,0.1878653223568524,0.012372052312311286,0.14040745944926467
away_elo,0.02295145497947219,0.3468165430314847,0.03846176342840302,0.2970076697619076,,0.025101996956643936,0.32437500708031913,0.04131164320298651,0.21139418451353723,0.040561876458806344,0.3285223437838382,0.019967502787522472,0.0003046533444886626,0.03716611660777365,0.022846660064523155,0.0052628972359021805,0.0359259697297772,0.019967502787522472,0.0003046533444886626,0.016379840174386096,1.0,0.7141065053906677,0.7043730632501862,0.6920045395324214,0.12053785988591063,0.012415590403678702,0.18174977675431228,0.12053785988591063
elo_difference,0.24014465538590923,0.2723056753162932,0.23023710668992547,0.22436288433201973,,0.24423728590100596,0.21673826781109312,0.16556408880491813,0.20225889881864098,0.25261687294442414,0.2557640712155977,0.037200967919738655,0.0011246125184154864,0.021489120222555724,0.0004913865181553819,0.031100425691133707,0.067567992447544,0.037200967919738655,0.0011246125184154864,0.7116401041488987,0.7141065053906677,1.0,0.9965259929401362,0.9674885593884213,0.18299815238349051,0.12280666422030864,0.13636644267720602,0.18299815238349051
elo_ratio,0.24053659108268888,0.2730792054601926,0.23128452138199762,0.22378560525344018,,0.24592076024609538,0.21314480445299497,0.16065226706218103,0.20515334485576722,0.25072096772065566,0.2552362231828486,0.036451925811381604,0.0013898390706228488,0.02381588860032367,0.0008929749312514716,0.028818834598454444,0.06544916897519795,0.036451925811381604,0.0013898390706228488,0.716446467324889,0.7043730632501862,0.9965259929401362,1.0,0.9639786125468797,0.1859723062519041,0.12375537056572736,0.13961443866136383,0.1859723062519041
elo_gap_bucket,0.2361289356105118,0.26903187074717055,0.22448745519655755,0.22732186646420538,,0.23586684388014548,0.2171510861401987,0.15856775807802168,0.19257206984976336,0.24316478950980472,0.2502661029203736,0.03409239387175856,0.0006375211980382042,0.021582078448939532,0.0029885932175678282,0.022913517920348965,0.06401891234451476,0.03409239387175856,0.0006375211980382042,0.6873850016829753,0.6920045395324214,0.9674885593884213,0.9639786125468797,1.0,0.18404700278038186,0.12421791179013768,0.1364510943330772,0.18404700278038186
