team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Arsenal,50.6792,10.4422,0.0,0.0251,0.1333,0.0359,50.687235575169325,84,2,2223,current_without_elo,8.4422,33.3208
Brentford,50.1902,10.7496,0.0,0.02,0.1179,0.0385,50.25199516117573,59,9,2223,current_without_elo,1.7495999999999992,8.809800000000003
Everton,47.3387,12.119,0.0,0.0085,0.059,0.0863,47.344811309129,36,17,2223,current_without_elo,4.881,11.338700000000003
Newcastle,46.1934,12.8202,0.0,0.0037,0.0392,0.1095,46.2171371281147,71,4,2223,current_without_elo,8.8202,24.806600000000003
Man United,45.3002,13.1856,0.0,0.0043,0.0311,0.1381,45.35350842401385,75,3,2223,current_without_elo,10.1856,29.699800000000003
Aston Villa,44.2902,13.4182,0.0,0.0036,0.0307,0.1461,44.23565985262394,61,7,2223,current_without_elo,6.418200000000001,16.7098
Fulham,42.1239,14.5441,0.0,0.0017,0.0147,0.2391,41.99559988826513,52,10,2223,current_without_elo,4.5441,9.876100000000001
West Ham,41.4504,15.0317,0.0,0.0011,0.0115,0.2827,41.35369363427162,40,14,2223,current_without_elo,1.0317000000000007,1.450400000000002
Leeds,41.0235,15.0499,0.0,0.0013,0.0104,0.2804,40.95968474820256,31,19,2223,current_without_elo,3.950100000000001,10.023499999999999
Nott'm Forest,40.697,15.2503,0.0,0.001,0.0107,0.3132,40.74700836092234,38,16,2223,current_without_elo,0.7497000000000007,2.6970000000000027
Wolves,37.4637,16.7536,0.0,0.0,0.0015,0.5008,37.56205327808857,41,13,2223,current_without_elo,3.7535999999999987,3.536299999999997
Southampton,31.1191,18.6448,0.0,0.0,0.0001,0.803,31.058312486857176,25,20,2223,current_without_elo,1.3552,6.1190999999999995
Man City,84.9651,1.7956,0.5048,0.981,0.9991,0.0,84.98923167586327,89,1,2223,current_plus_elo,0.7956000000000001,4.034899999999993
Tottenham,83.3506,2.0843,0.3523,0.972,0.9976,0.0,83.38442492857575,60,8,2223,current_plus_elo,5.9157,23.3506
Brighton,75.6643,3.2746,0.0922,0.8343,0.9799,0.0,75.5532288774848,62,6,2223,current_plus_elo,2.7254,13.664299999999997
Liverpool,72.2631,4.0361,0.0395,0.6682,0.9336,0.0,72.186856508255,67,5,2223,current_plus_elo,0.9638999999999998,5.263099999999994
Chelsea,66.7077,5.1816,0.0099,0.3518,0.8186,0.0002,66.81977847963572,44,12,2223,current_plus_elo,6.8184,22.707700000000003
Arsenal,58.6324,7.3069,0.0008,0.0826,0.4431,0.0018,58.65615666657686,84,2,2223,current_plus_elo,5.3069,25.367600000000003
Leicester,57.4559,7.9281,0.0005,0.0671,0.3425,0.0047,57.46438588947058,34,18,2223,current_plus_elo,10.0719,23.4559
Crystal Palace,53.5495,9.277,0.0,0.0198,0.1862,0.0136,53.70171132683754,45,11,2223,current_plus_elo,1.7230000000000008,8.549500000000002
Brentford,48.7733,11.1912,0.0,0.0084,0.0757,0.0507,48.77960483729839,59,9,2223,current_plus_elo,2.1912000000000003,10.226700000000001
Man United,48.3864,11.5419,0.0,0.0056,0.059,0.0594,48.47805429250002,75,3,2223,current_plus_elo,8.5419,26.613599999999998
Newcastle,46.3061,12.5012,0.0,0.0021,0.0375,0.0975,46.266916297376156,71,4,2223,current_plus_elo,8.5012,24.6939
Aston Villa,45.392,12.6254,0.0,0.002,0.0301,0.0968,45.276840724051,61,7,2223,current_plus_elo,5.625400000000001,15.607999999999997
West Ham,45.218,13.076,0.0,0.0016,0.0285,0.13,45.099472396075726,40,14,2223,current_plus_elo,0.9239999999999995,5.2180000000000035
Everton,44.5987,13.1304,0.0,0.0008,0.0227,0.1232,44.61713309586048,36,17,2223,current_plus_elo,3.8696,8.598700000000001
Nott'm Forest,43.7947,13.6794,0.0,0.0013,0.0211,0.1707,43.8574742116034,38,16,2223,current_plus_elo,2.3206000000000007,5.794699999999999
Bournemouth,42.6738,13.9103,0.0,0.0012,0.0188,0.1923,42.63814119249582,39,15,2223,current_plus_elo,1.0897000000000006,3.6738
Leeds,37.5641,16.2801,0.0,0.0001,0.0029,0.4272,37.56578358262777,31,19,2223,current_plus_elo,2.719899999999999,6.564100000000003
Fulham,37.422,16.3016,0.0,0.0001,0.0019,0.4308,37.341849848628044,52,10,2223,current_plus_elo,6.3016000000000005,14.578000000000003
Wolves,36.5368,16.9007,0.0,0.0,0.0008,0.5135,36.657166946679354,41,13,2223,current_plus_elo,3.9007000000000005,4.4632000000000005
Southampton,33.1482,17.9776,0.0,0.0,0.0004,0.6876,33.10117433965206,25,20,2223,current_plus_elo,2.022400000000001,8.148200000000003
Tottenham,72.3656,2.6222,0.3907,0.8496,0.942,0.0,72.45341466762082,60,8,2223,current_plus_elo_calibrated,5.377800000000001,12.3656
Brighton,68.5856,3.4911,0.2439,0.7314,0.8755,0.0004,68.44236869247763,62,6,2223,current_plus_elo_calibrated,2.5089,6.5855999999999995
Man City,66.0811,4.4401,0.146,0.6024,0.7885,0.0011,66.13266394483556,89,1,2223,current_plus_elo_calibrated,3.4401,22.918899999999994
Liverpool,62.4762,5.8075,0.0717,0.4308,0.6428,0.0048,62.34304691782736,67,5,2223,current_plus_elo_calibrated,0.8075000000000001,4.523800000000001
Chelsea,60.6113,6.4527,0.0509,0.3465,0.5722,0.0071,60.66781393578935,44,12,2223,current_plus_elo_calibrated,5.5473,16.6113
Arsenal,59.7676,6.6914,0.0395,0.3251,0.5385,0.006,59.809738693086594,84,2,2223,current_plus_elo_calibrated,4.6914,24.2324
Leicester,57.5521,8.0143,0.0245,0.215,0.4047,0.0185,57.53228610698704,34,18,2223,current_plus_elo_calibrated,9.9857,23.552100000000003
Crystal Palace,53.9353,9.7418,0.0094,0.1167,0.2521,0.0456,54.1119718902516,45,11,2223,current_plus_elo_calibrated,1.2582000000000004,8.935299999999998
Man United,53.5527,10.1313,0.0077,0.103,0.231,0.0543,53.61526660194826,75,3,2223,current_plus_elo_calibrated,7.1312999999999995,21.4473
Brentford,52.4301,10.425,0.0069,0.0869,0.2072,0.0652,52.483509796762505,59,9,2223,current_plus_elo_calibrated,1.4250000000000007,6.569899999999997
Aston Villa,48.4617,12.4608,0.0016,0.0368,0.0963,0.1379,48.36457200109761,61,7,2223,current_plus_elo_calibrated,5.460800000000001,12.5383
Newcastle,49.017,12.4903,0.0013,0.0377,0.0965,0.1412,48.98385875646047,71,4,2223,current_plus_elo_calibrated,8.4903,21.982999999999997
West Ham,49.1078,12.5446,0.0019,0.0373,0.1002,0.1497,49.005547984772925,40,14,2223,current_plus_elo_calibrated,1.4553999999999991,9.107799999999997
Everton,47.2888,13.2339,0.0019,0.0239,0.0703,0.1823,47.3147968312362,36,17,2223,current_plus_elo_calibrated,3.7661,11.288800000000002
Bournemouth,46.9279,13.2905,0.0007,0.0245,0.0719,0.1879,46.924742809302685,39,15,2223,current_plus_elo_calibrated,1.7095000000000002,7.927900000000001
Leeds,44.8251,14.5257,0.0007,0.0131,0.0402,0.2814,44.80561173357643,31,19,2223,current_plus_elo_calibrated,4.4742999999999995,13.825099999999999
Nott'm Forest,44.0317,15.004,0.0002,0.0094,0.028,0.3237,44.09283989293057,38,16,2223,current_plus_elo_calibrated,0.9960000000000004,6.031700000000001
Wolves,43.394,15.4104,0.0,0.0051,0.0223,0.3681,43.512986313054,41,13,2223,current_plus_elo_calibrated,2.410399999999999,2.3939999999999984
Fulham,40.486,16.4285,0.0002,0.0025,0.0105,0.4852,40.41046189729255,52,10,2223,current_plus_elo_calibrated,6.4285,11.514000000000003
Southampton,39.9859,16.7939,0.0003,0.0023,0.0093,0.5396,39.87919597553716,25,20,2223,current_plus_elo_calibrated,3.2060999999999993,14.9859
Liverpool,74.2133,2.3249,0.4501,0.8848,0.9622,0.0,74.15661631524563,82,3,2324,current_without_elo,0.6751,7.786699999999996
Man United,71.165,3.1196,0.246,0.7891,0.917,0.0,71.22493930161,60,8,2324,current_without_elo,4.8804,11.165000000000006
Newcastle,66.8575,4.5172,0.1071,0.5736,0.7904,0.0004,66.65098299086094,60,7,2324,current_without_elo,2.4828,6.857500000000002
Everton,64.2529,5.3064,0.0696,0.461,0.7003,0.0012,64.15939048677683,48,12,2324,current_without_elo,6.6936,16.252899999999997
Aston Villa,62.737,5.776,0.0585,0.4028,0.6422,0.0016,62.8208841830492,68,4,2324,current_without_elo,1.7759999999999998,5.262999999999998
Arsenal,58.623,7.498,0.0207,0.2299,0.4354,0.0062,58.54602615535259,89,2,2324,current_without_elo,5.498,30.377000000000002
Man City,58.8512,7.6716,0.0189,0.2062,0.4122,0.0079,58.95764445513487,91,1,2324,current_without_elo,6.6716,32.1488
Brentford,57.8487,7.8872,0.0169,0.1904,0.3898,0.0089,57.927054829895496,39,16,2324,current_without_elo,8.1128,18.8487
Crystal Palace,52.8281,10.3705,0.0028,0.0632,0.1758,0.0405,52.8640480786562,49,10,2324,current_without_elo,0.37049999999999983,3.828099999999999
Tottenham,52.8293,10.6094,0.0037,0.0619,0.1592,0.0408,52.659819170832634,66,5,2324,current_without_elo,5.609400000000001,13.170699999999997
Fulham,51.1191,11.2813,0.0021,0.0439,0.1221,0.0606,51.00047519057989,47,14,2324,current_without_elo,2.7187,4.119100000000003
Brighton,50.6726,11.3359,0.0022,0.0469,0.1307,0.0673,50.8049141317606,48,11,2324,current_without_elo,0.33590000000000053,2.6726000000000028
Chelsea,47.7132,12.8302,0.0006,0.0211,0.0629,0.1236,47.73555353283882,63,6,2324,current_without_elo,6.8302,15.2868
Nott'm Forest,46.005,13.8085,0.0007,0.0087,0.0324,0.1813,45.892508149147034,36,17,2324,current_without_elo,3.1914999999999996,10.005000000000003
Burnley,44.7468,14.1765,0.0,0.0076,0.0282,0.2001,44.881302282214165,24,19,2324,current_without_elo,4.823499999999999,20.7468
Bournemouth,42.215,15.2295,0.0001,0.0032,0.0131,0.3046,42.3090363368392,48,13,2324,current_without_elo,2.2295,5.784999999999997
Sheffield United,42.1544,15.5335,0.0,0.002,0.0096,0.3379,42.164929777383804,16,20,2324,current_without_elo,4.4665,26.154400000000003
