match_id,season,date,team,opponent,is_home,formation,captain,lineup_type,source,source_collected_at
2425_20241027_crystal_palace_tottenham,2425,2024-10-27,Crystal Palace,Tottenham,1,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_crystal_palace_tottenham,2425,2024-10-27,Tottenham,Crystal Palace,0,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_west_ham_man_united,2425,2024-10-27,West Ham,Man United,1,,,actual,fbref_soccerdata,2024-10-28
2425_20241027_west_ham_man_united,2425,2024-10-27,Man United,West Ham,0,,,actual,fbref_soccerdata,2024-10-28
2425_20241102_bournemouth_man_city,2425,2024-11-02,Bournemouth,Man City,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_bournemouth_man_city,2425,2024-11-02,Man City,Bournemouth,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_ipswich_leicester,2425,2024-11-02,Ipswich,Leicester,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_ipswich_leicester,2425,2024-11-02,Leicester,Ipswich,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_liverpool_brighton,2425,2024-11-02,Liverpool,Brighton,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_liverpool_brighton,2425,2024-11-02,Brighton,Liverpool,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_newcastle_arsenal,2425,2024-11-02,Newcastle,Arsenal,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_newcastle_arsenal,2425,2024-11-02,Arsenal,Newcastle,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_nottm_forest_west_ham,2425,2024-11-02,Nott'm Forest,West Ham,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_nottm_forest_west_ham,2425,2024-11-02,West Ham,Nott'm Forest,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_southampton_everton,2425,2024-11-02,Southampton,Everton,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_southampton_everton,2425,2024-11-02,Everton,Southampton,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_wolves_crystal_palace,2425,2024-11-02,Wolves,Crystal Palace,1,,,actual,fbref_soccerdata,2024-11-03
2425_20241102_wolves_crystal_palace,2425,2024-11-02,Crystal Palace,Wolves,0,,,actual,fbref_soccerdata,2024-11-03
2425_20241103_man_united_chelsea,2425,2024-11-03,Man United,Chelsea,1,,,actual,fbref_soccerdata,2024-11-04
2425_20241103_man_united_chelsea,2425,2024-11-03,Chelsea,Man United,0,,,actual,fbref_soccerdata,2024-11-04
2425_20241103_tottenham_aston_villa,2425,2024-11-03,Tottenham,Aston Villa,1,,,actual,fbref_soccerdata,2024-11-04
2425_20241103_tottenham_aston_villa,2425,2024-11-03,Aston Villa,Tottenham,0,,,actual,fbref_soccerdata,2024-11-04
2425_20241104_fulham_brentford,2425,2024-11-04,Fulham,Brentford,1,,,actual,fbref_soccerdata,2024-11-05
2425_20241104_fulham_brentford,2425,2024-11-04,Brentford,Fulham,0,,,actual,fbref_soccerdata,2024-11-05
2425_20241109_brentford_bournemouth,2425,2024-11-09,Brentford,Bournemouth,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_brentford_bournemouth,2425,2024-11-09,Bournemouth,Brentford,0,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_brighton_man_city,2425,2024-11-09,Brighton,Man City,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_brighton_man_city,2425,2024-11-09,Man City,Brighton,0,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_crystal_palace_fulham,2425,2024-11-09,Crystal Palace,Fulham,1,,,actual,fbref_soccerdata,2024-11-10
2425_20241109_crystal_palace_fulham,2425,2024-11-09,Fulham,Crystal Palace,0,,,actual,fbref_soccerdata,2024-11-10
