match_id,season,date,team,formation,manager,source,source_collected_at
2425_20240929_ipswich_aston_villa,2425,2024-09-29,Aston Villa,,,fbref_soccerdata,2024-09-30
2425_20240929_man_united_tottenham,2425,2024-09-29,Man United,,,fbref_soccerdata,2024-09-30
2425_20240929_man_united_tottenham,2425,2024-09-29,Tottenham,,,fbref_soccerdata,2024-09-30
2425_20240930_bournemouth_southampton,2425,2024-09-30,Bournemouth,,,fbref_soccerdata,2024-10-01
2425_20240930_bournemouth_southampton,2425,2024-09-30,Southampton,,,fbref_soccerdata,2024-10-01
2425_20241005_arsenal_southampton,2425,2024-10-05,Arsenal,,,fbref_soccerdata,2024-10-06
2425_20241005_arsenal_southampton,2425,2024-10-05,Southampton,,,fbref_soccerdata,2024-10-06
2425_20241005_brentford_wolves,2425,2024-10-05,Brentford,,,fbref_soccerdata,2024-10-06
2425_20241005_brentford_wolves,2425,2024-10-05,Wolves,,,fbref_soccerdata,2024-10-06
2425_20241005_crystal_palace_liverpool,2425,2024-10-05,Crystal Palace,,,fbref_soccerdata,2024-10-06
2425_20241005_crystal_palace_liverpool,2425,2024-10-05,Liverpool,,,fbref_soccerdata,2024-10-06
2425_20241005_everton_newcastle,2425,2024-10-05,Everton,,,fbref_soccerdata,2024-10-06
2425_20241005_everton_newcastle,2425,2024-10-05,Newcastle,,,fbref_soccerdata,2024-10-06
2425_20241005_leicester_bournemouth,2425,2024-10-05,Leicester,,,fbref_soccerdata,2024-10-06
2425_20241005_leicester_bournemouth,2425,2024-10-05,Bournemouth,,,fbref_soccerdata,2024-10-06
2425_20241005_man_city_fulham,2425,2024-10-05,Man City,,,fbref_soccerdata,2024-10-06
2425_20241005_man_city_fulham,2425,2024-10-05,Fulham,,,fbref_soccerdata,2024-10-06
2425_20241005_west_ham_ipswich,2425,2024-10-05,West Ham,,,fbref_soccerdata,2024-10-06
2425_20241005_west_ham_ipswich,2425,2024-10-05,Ipswich,,,fbref_soccerdata,2024-10-06
2425_20241006_aston_villa_man_united,2425,2024-10-06,Aston Villa,,,fbref_soccerdata,2024-10-07
2425_20241006_aston_villa_man_united,2425,2024-10-06,Man United,,,fbref_soccerdata,2024-10-07
2425_20241006_brighton_tottenham,2425,2024-10-06,Brighton,,,fbref_soccerdata,2024-10-07
2425_20241006_brighton_tottenham,2425,2024-10-06,Tottenham,,,fbref_soccerdata,2024-10-07
2425_20241006_chelsea_nottm_forest,2425,2024-10-06,Chelsea,,,fbref_soccerdata,2024-10-07
2425_20241006_chelsea_nottm_forest,2425,2024-10-06,Nott'm Forest,,,fbref_soccerdata,2024-10-07
