Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,squad_strength_prior_weight,home_squad_strength_score,away_squad_strength_score,squad_strength_diff
2026-12-26,2026/27,Fulham,Brighton,0.27414564076465575,0.2888009269658326,0.4370534322695117,0.025,0.5004370086606525,0.6777263169997666,-0.17728930833911405
2026-12-26,2026/27,Hull,Liverpool,0.3325583880541618,0.21709216323864083,0.45034944870719734,0.025,0.0,0.8703170526167026,-0.8703170526167026
2026-12-30,2026/27,Fulham,Arsenal,0.18664916268814505,0.25606273537356444,0.5572881019382906,0.025,0.5004370086606525,0.9792194884200927,-0.4787824797594401
2026-12-30,2026/27,Crystal Palace,Bournemouth,0.3050459786007741,0.2852644139684777,0.4096896074307483,0.025,0.6681914087020531,0.676850904932348,-0.008659496230294939
2026-12-30,2026/27,Aston Villa,Liverpool,0.28133620684846733,0.2510476178595497,0.467616175291983,0.025,0.6530679997643404,0.8703170526167026,-0.21724905285236218
2026-12-30,2026/27,Coventry,Brentford,0.3385127198865307,0.25417527454624167,0.40731200556722763,0.025,0.2691907680537146,0.6225140877503055,-0.35332331969659087
2026-12-30,2026/27,Everton,Man City,0.24119436099157168,0.2533897062373485,0.5054159327710799,0.025,0.5837357090144661,1.0,-0.41626429098553386
2026-12-30,2026/27,Man United,Sunderland,0.6355950395425713,0.2349062054409965,0.12949875501643227,0.025,0.7854689788300634,0.5315033133148145,0.2539656655152489
2026-12-30,2026/27,Newcastle,Nott'm Forest,0.47094377795244585,0.2611772686280077,0.2678789534195465,0.025,0.7560965508449361,0.6847902801698104,0.07130627067512574
2026-12-30,2026/27,Ipswich,Chelsea,0.4343416971581782,0.24722217078776637,0.31843613205405547,0.025,0.3042436157500667,0.9339182431634738,-0.6296746274134071
2026-12-30,2026/27,Tottenham,Brighton,0.2652868690575063,0.26646119598014034,0.46825193496235334,0.025,0.7580903593798862,0.6777263169997666,0.08036404238011963
2026-12-30,2026/27,Hull,Leeds,0.4961259971959251,0.24127910726738414,0.26259489553669085,0.025,0.0,0.5032106679166529,-0.5032106679166529
2027-01-02,2026/27,Brighton,Man United,0.4223772965166262,0.27437434477720946,0.30324835870616446,0.025,0.6777263169997666,0.7854689788300634,-0.1077426618302968
2027-01-02,2026/27,Arsenal,Ipswich,0.5709632453082881,0.2714758054215721,0.15756094927013978,0.025,0.9792194884200927,0.3042436157500667,0.6749758726700259
2027-01-02,2026/27,Bournemouth,Aston Villa,0.5047558521950817,0.2679555115031731,0.22728863630174528,0.025,0.676850904932348,0.6530679997643404,0.02378290516800763
2027-01-02,2026/27,Brentford,Crystal Palace,0.5214149411745169,0.28342172326235404,0.1951633355631289,0.025,0.6225140877503055,0.6681914087020531,-0.04567732095174759
2027-01-02,2026/27,Chelsea,Newcastle,0.5309488392565079,0.25736739876600245,0.21168376197748973,0.025,0.9339182431634738,0.7560965508449361,0.17782169231853773
2027-01-02,2026/27,Leeds,Everton,0.4616498742970883,0.2795877149007064,0.2587624108022053,0.025,0.5032106679166529,0.5837357090144661,-0.08052504109781322
2027-01-02,2026/27,Man City,Tottenham,0.6861823223119943,0.2199361119288484,0.09388156575915728,0.025,1.0,0.7580903593798862,0.24190964062011378
2027-01-02,2026/27,Nott'm Forest,Fulham,0.44334917011337716,0.3113024846460555,0.24534834524056745,0.025,0.6847902801698104,0.5004370086606525,0.1843532715091578
2027-01-02,2026/27,Sunderland,Hull,0.4616548459391029,0.2259978445862241,0.312347309474673,0.025,0.5315033133148145,0.0,0.5315033133148145
2027-01-02,2026/27,Liverpool,Coventry,0.7120330499990424,0.19195583841293018,0.09601111158802755,0.025,0.8703170526167026,0.2691907680537146,0.6011262845629879
2027-01-06,2026/27,Everton,Aston Villa,0.4329267596093161,0.2647010031010196,0.30237223728966434,0.025,0.5837357090144661,0.6530679997643404,-0.06933229074987424
2027-01-06,2026/27,Arsenal,Brentford,0.6795045395423307,0.21927259374764277,0.10122286671002657,0.025,0.9792194884200927,0.6225140877503055,0.3567054006697872
2027-01-06,2026/27,Brighton,Bournemouth,0.5582649103710051,0.2558663136152377,0.1858687760137572,0.025,0.6777263169997666,0.676850904932348,0.0008754120674185906
2027-01-06,2026/27,Crystal Palace,Chelsea,0.3524895899616539,0.28830863036796545,0.3592017796703805,0.025,0.6681914087020531,0.9339182431634738,-0.26572683446142076
2027-01-06,2026/27,Fulham,Tottenham,0.4463444857687987,0.27901119533272245,0.27464431889847885,0.025,0.5004370086606525,0.7580903593798862,-0.2576533507192337
2027-01-06,2026/27,Ipswich,Coventry,0.5315591776390831,0.1998381063350591,0.2686027160258578,0.025,0.3042436157500667,0.2691907680537146,0.035052847696352085
2027-01-06,2026/27,Man United,Newcastle,0.6363389830207239,0.23217905679790604,0.1314819601813701,0.025,0.7854689788300634,0.7560965508449361,0.029372427985127292
2027-01-06,2026/27,Nott'm Forest,Hull,0.4264806641866671,0.23316305106068025,0.34035628475265267,0.025,0.6847902801698104,0.0,0.6847902801698104
2027-01-06,2026/27,Sunderland,Liverpool,0.2726462965813683,0.26072863524814677,0.46662506817048494,0.025,0.5315033133148145,0.8703170526167026,-0.3388137393018881
2027-01-06,2026/27,Leeds,Man City,0.18340204300232757,0.24824681791096184,0.5683511390867105,0.025,0.5032106679166529,1.0,-0.4967893320833471
2027-01-16,2026/27,Coventry,Everton,0.29849400462024245,0.27283303149702465,0.42867296388273296,0.025,0.2691907680537146,0.5837357090144661,-0.31454494096075153
2027-01-16,2026/27,Aston Villa,Man United,0.23963146553019454,0.2538257262976825,0.506542808172123,0.025,0.6530679997643404,0.7854689788300634,-0.132400979065723
