team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Southampton,33.053,18.043,0.0,0.0,0.0,0.71,33.10117433965206,25,20,2223,current_plus_elo,1.9570000000000007,8.052999999999997
Tottenham,72.344,2.611,0.407,0.844,0.939,0.0,72.45341466762082,60,8,2223,current_plus_elo_calibrated,5.388999999999999,12.343999999999994
Brighton,68.585,3.457,0.248,0.735,0.882,0.0,68.44236869247763,62,6,2223,current_plus_elo_calibrated,2.543,6.584999999999994
Man City,66.007,4.432,0.142,0.606,0.795,0.001,66.13266394483556,89,1,2223,current_plus_elo_calibrated,3.4320000000000004,22.992999999999995
Liverpool,62.112,5.969,0.05,0.396,0.632,0.002,62.34304691782736,67,5,2223,current_plus_elo_calibrated,0.9690000000000003,4.887999999999998
Chelsea,60.967,6.292,0.057,0.364,0.591,0.004,60.66781393578935,44,12,2223,current_plus_elo_calibrated,5.708,16.967
Arsenal,59.802,6.701,0.041,0.337,0.556,0.004,59.809738693086594,84,2,2223,current_plus_elo_calibrated,4.701,24.198
Leicester,57.369,8.091,0.021,0.205,0.379,0.015,57.53228610698704,34,18,2223,current_plus_elo_calibrated,9.909,23.369
Crystal Palace,54.086,9.646,0.016,0.122,0.269,0.045,54.1119718902516,45,11,2223,current_plus_elo_calibrated,1.3539999999999992,9.085999999999999
Man United,53.409,10.171,0.01,0.093,0.217,0.059,53.61526660194826,75,3,2223,current_plus_elo_calibrated,7.170999999999999,21.591
Brentford,52.645,10.283,0.005,0.104,0.215,0.063,52.483509796762505,59,9,2223,current_plus_elo_calibrated,1.2829999999999995,6.354999999999997
Aston Villa,48.512,12.427,0.001,0.036,0.107,0.148,48.36457200109761,61,7,2223,current_plus_elo_calibrated,5.427,12.488
West Ham,49.189,12.484,0.0,0.042,0.095,0.147,49.005547984772925,40,14,2223,current_plus_elo_calibrated,1.516,9.189
Newcastle,48.616,12.745,0.0,0.025,0.072,0.139,48.98385875646047,71,4,2223,current_plus_elo_calibrated,8.745,22.384
Everton,47.415,13.229,0.0,0.033,0.075,0.178,47.3147968312362,36,17,2223,current_plus_elo_calibrated,3.771000000000001,11.415
Bournemouth,47.046,13.237,0.001,0.021,0.069,0.182,46.924742809302685,39,15,2223,current_plus_elo_calibrated,1.763,8.046
Leeds,45.069,14.452,0.0,0.014,0.041,0.28,44.80561173357643,31,19,2223,current_plus_elo_calibrated,4.548,14.069000000000003
Nott'm Forest,44.08,15.073,0.0,0.007,0.023,0.318,44.09283989293057,38,16,2223,current_plus_elo_calibrated,0.9269999999999996,6.079999999999998
Wolves,43.74,15.228,0.0,0.009,0.02,0.354,43.512986313054,41,13,2223,current_plus_elo_calibrated,2.2279999999999998,2.740000000000002
Fulham,40.211,16.552,0.001,0.005,0.012,0.5,40.41046189729255,52,10,2223,current_plus_elo_calibrated,6.552,11.789000000000001
Southampton,39.785,16.92,0.0,0.002,0.011,0.561,39.87919597553716,25,20,2223,current_plus_elo_calibrated,3.0799999999999983,14.784999999999997
Liverpool,74.156,2.359,0.437,0.884,0.961,0.0,74.15661631524563,82,3,2324,current_without_elo,0.641,7.843999999999994
Man United,71.081,3.143,0.238,0.784,0.924,0.0,71.22493930161,60,8,2324,current_without_elo,4.857,11.081000000000003
Newcastle,67.006,4.433,0.117,0.572,0.79,0.0,66.65098299086094,60,7,2324,current_without_elo,2.567,7.006
