Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,model_variant
2021-11-07,2122,West Ham,Liverpool,0.39958029985427856,0.21703246235847473,0.3833872377872467,current_plus_elo
2021-11-20,2122,Leicester,Chelsea,0.11621048301458359,0.17478570342063904,0.7090038657188416,current_plus_elo
2021-11-20,2122,Aston Villa,Brighton,0.47721678018569946,0.263753205537796,0.25902998447418213,current_plus_elo
2021-11-20,2122,Wolves,West Ham,0.19862210750579834,0.28316766023635864,0.518210232257843,current_plus_elo
2021-11-20,2122,Burnley,Crystal Palace,0.24252882599830627,0.25481706857681274,0.5026541352272034,current_plus_elo
2021-11-20,2122,Norwich,Southampton,0.19553977251052856,0.0442529059946537,0.7602072954177856,current_plus_elo
2021-11-20,2122,Watford,Man United,0.23473723232746124,0.26595261693000793,0.499310165643692,current_plus_elo
2021-11-20,2122,Newcastle,Brentford,0.6287258267402649,0.18428544700145721,0.1869887113571167,current_plus_elo
2021-11-20,2122,Liverpool,Arsenal,0.6369011402130127,0.21454235911369324,0.14855650067329407,current_plus_elo
2021-11-21,2122,Man City,Everton,0.651972770690918,0.14091752469539642,0.2071097046136856,current_plus_elo
2021-11-21,2122,Tottenham,Leeds,0.48775747418403625,0.2042156606912613,0.30802690982818604,current_plus_elo
2021-11-27,2122,Arsenal,Newcastle,0.513085126876831,0.341570645570755,0.14534425735473633,current_plus_elo
2021-11-27,2122,Crystal Palace,Aston Villa,0.5937548875808716,0.19567380845546722,0.2105712890625,current_plus_elo
2021-11-27,2122,Liverpool,Southampton,0.8318108320236206,0.10577346384525299,0.0624157190322876,current_plus_elo
2021-11-27,2122,Norwich,Wolves,0.5417340397834778,0.095284104347229,0.3629818558692932,current_plus_elo
2021-11-27,2122,Brighton,Leeds,0.2437346875667572,0.5128182172775269,0.24344705045223236,current_plus_elo
2021-11-28,2122,Leicester,Watford,0.3582727313041687,0.20498813688755035,0.43673911690711975,current_plus_elo
2021-11-28,2122,Brentford,Everton,0.2592547833919525,0.30058571696281433,0.44015949964523315,current_plus_elo
2021-11-28,2122,Chelsea,Man United,0.40831121802330017,0.30019256472587585,0.29149624705314636,current_plus_elo
2021-11-28,2122,Man City,West Ham,0.4487515687942505,0.17827236652374268,0.3729760944843292,current_plus_elo
2021-11-30,2122,Newcastle,Norwich,0.7373224496841431,0.11674094945192337,0.14593659341335297,current_plus_elo
2021-11-30,2122,Leeds,Crystal Palace,0.45164310932159424,0.23003815114498138,0.3183186948299408,current_plus_elo
2021-12-01,2122,Southampton,Leicester,0.286980539560318,0.25947725772857666,0.45354220271110535,current_plus_elo
2021-12-01,2122,West Ham,Brighton,0.7542460560798645,0.16396822035312653,0.08178561925888062,current_plus_elo
2021-12-01,2122,Watford,Chelsea,0.2189471423625946,0.2106415331363678,0.5704113245010376,current_plus_elo
2021-12-01,2122,Everton,Liverpool,0.12639522552490234,0.314606249332428,0.5589985251426697,current_plus_elo
2021-12-01,2122,Aston Villa,Man City,0.17767614126205444,0.23198994994163513,0.590333878993988,current_plus_elo
2021-12-01,2122,Wolves,Burnley,0.2566412091255188,0.37666982412338257,0.36668896675109863,current_plus_elo
2021-12-02,2122,Tottenham,Brentford,0.7341880798339844,0.08873766660690308,0.17707428336143494,current_plus_elo
2021-12-02,2122,Man United,Arsenal,0.18870019912719727,0.4007919728755951,0.41050785779953003,current_plus_elo
2021-12-04,2122,West Ham,Chelsea,0.40054842829704285,0.21141120791435242,0.3880403935909271,current_plus_elo
2021-12-04,2122,Southampton,Brighton,0.3607441186904907,0.2644942104816437,0.3747616708278656,current_plus_elo
2021-12-04,2122,Wolves,Liverpool,0.08639141172170639,0.5038440227508545,0.4097645878791809,current_plus_elo
2021-12-04,2122,Newcastle,Burnley,0.34394779801368713,0.24983683228492737,0.4062153697013855,current_plus_elo
2021-12-04,2122,Watford,Man City,0.17133773863315582,0.22875413298606873,0.5999081134796143,current_plus_elo
2021-12-05,2122,Man United,Crystal Palace,0.3400840759277344,0.09675797820091248,0.5631579160690308,current_plus_elo
2021-12-05,2122,Leeds,Brentford,0.689190685749054,0.12816861271858215,0.1826407015323639,current_plus_elo
2021-12-05,2122,Aston Villa,Leicester,0.2911543548107147,0.14203377068042755,0.5668118596076965,current_plus_elo
2021-12-05,2122,Tottenham,Norwich,0.5928753018379211,0.20268619060516357,0.20443850755691528,current_plus_elo
2021-12-06,2122,Everton,Arsenal,0.16373662650585175,0.629690945148468,0.2065725028514862,current_plus_elo
2021-12-10,2122,Brentford,Watford,0.2367880791425705,0.21993516385555267,0.5432767868041992,current_plus_elo
2021-12-11,2122,Man City,Wolves,0.6405404806137085,0.1916879117488861,0.167771577835083,current_plus_elo
2021-12-11,2122,Arsenal,Southampton,0.6354336738586426,0.19468018412590027,0.16988617181777954,current_plus_elo
2021-12-11,2122,Chelsea,Leeds,0.5603649020195007,0.2892521917819977,0.15038292109966278,current_plus_elo
2021-12-11,2122,Liverpool,Aston Villa,0.9003517627716064,0.06314662098884583,0.03650163114070892,current_plus_elo
2021-12-11,2122,Norwich,Man United,0.1419239491224289,0.1173672005534172,0.7407088875770569,current_plus_elo
2021-12-12,2122,Leicester,Newcastle,0.25749993324279785,0.31655749678611755,0.42594262957572937,current_plus_elo
2021-12-12,2122,Crystal Palace,Everton,0.40014728903770447,0.23737891018390656,0.36247381567955017,current_plus_elo
2021-12-12,2122,Burnley,West Ham,0.24898631870746613,0.22076448798179626,0.5302491784095764,current_plus_elo
2021-12-14,2122,Norwich,Aston Villa,0.524401068687439,0.21318264305591583,0.2624163031578064,current_plus_elo
2021-12-14,2122,Man City,Leeds,0.5100906491279602,0.3059829771518707,0.18392637372016907,current_plus_elo
2021-12-15,2122,Brighton,Wolves,0.49844619631767273,0.2768135964870453,0.22474025189876556,current_plus_elo
2021-12-15,2122,Crystal Palace,Southampton,0.3749290108680725,0.25017496943473816,0.3748960494995117,current_plus_elo
2021-12-15,2122,Arsenal,West Ham,0.4592950642108917,0.2214362919330597,0.3192686140537262,current_plus_elo
2021-12-16,2122,Chelsea,Everton,0.7382869124412537,0.11859304457902908,0.14312003552913666,current_plus_elo
2021-12-16,2122,Liverpool,Newcastle,0.8712047338485718,0.07916808873414993,0.04962718114256859,current_plus_elo
2021-12-18,2122,Leeds,Arsenal,0.4055032730102539,0.2237510234117508,0.3707456886768341,current_plus_elo
2021-12-19,2122,Newcastle,Man City,0.13915379345417023,0.170949324965477,0.6898968815803528,current_plus_elo
2021-12-19,2122,Wolves,Chelsea,0.25823843479156494,0.24117714166641235,0.5005844235420227,current_plus_elo
2021-12-19,2122,Tottenham,Liverpool,0.2233269065618515,0.16815662384033203,0.6085164546966553,current_plus_elo
2021-12-26,2122,Man City,Leicester,0.5371387600898743,0.18324264883995056,0.27961859107017517,current_plus_elo
2021-12-26,2122,Tottenham,Crystal Palace,0.6049445867538452,0.16406120359897614,0.23099423944950104,current_plus_elo
2021-12-26,2122,Norwich,Arsenal,0.10497964918613434,0.6332176923751831,0.26180267333984375,current_plus_elo
2021-12-26,2122,Brighton,Brentford,0.5227788686752319,0.24017402529716492,0.23704710602760315,current_plus_elo
2021-12-26,2122,Aston Villa,Chelsea,0.22388586401939392,0.24537540972232819,0.5307387113571167,current_plus_elo
2021-12-26,2122,West Ham,Southampton,0.664685070514679,0.18477094173431396,0.15054401755332947,current_plus_elo
2021-12-27,2122,Newcastle,Man United,0.17542073130607605,0.3600470721721649,0.4645322263240814,current_plus_elo
