model_version,strategy,threshold,spread_threshold,boost,calibration_matches_adjusted,test_matches_adjusted,calibration_accuracy,calibration_log_loss,calibration_Brier_score,calibration_expected_calibration_error,calibration_calibration_score,calibration_draw_recall,calibration_draw_top2_rate,calibration_actual_draw_rate,calibration_predicted_draw_top1_rate,calibration_mean_draw_probability,calibration_draw_probability_gap,calibration_draw_log_loss,calibration_double_chance_hit_rate,test_accuracy,test_log_loss,test_Brier_score,test_expected_calibration_error,test_calibration_score,test_draw_recall,test_draw_top2_rate,test_actual_draw_rate,test_predicted_draw_top1_rate,test_mean_draw_probability,test_draw_probability_gap,test_draw_log_loss,test_double_chance_hit_rate,selected_on_calibration
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.05,130,228,0.5290023201856149,0.9921582257215005,0.5915858749676441,0.03075522779332155,0.030755227793321554,0.05555555555555555,0.7053364269141531,0.2505800464037123,0.037122969837587005,0.26351337887039855,0.012933332466686265,0.556948737484592,0.777262180974478,0.4646840148698885,1.0548053154188115,0.6351821591690108,0.042616024495105376,0.042616024495105376,0.027972027972027972,0.7118959107806692,0.26579925650557623,0.055762081784386616,0.2786988853553656,0.012899628849789346,0.5932387542316439,0.7397769516728625,False
draw_overlay_draw_score,draw_score,0.41771700429589087,0.08,0.06,130,228,0.5290023201856149,0.9925127268776653,0.5917935336018869,0.030224098676617843,0.03022409867661784,0.05555555555555555,0.7169373549883991,0.2505800464037123,0.037122969837587005,0.2657688734470154,0.0151888270433031,0.5573032386407569,0.7819025522041764,0.4628252788104089,1.0550460514182227,0.6354526424143674,0.045316962029819864,0.045316962029819864,0.03496503496503497,0.7230483271375465,0.26579925650557623,0.06133828996282528,0.2818249719362264,0.016025715430650178,0.5934794902310548,0.7397769516728625,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.01,87,144,0.5359628770301624,0.9920234913551156,0.5915857122055324,0.03142136124597067,0.03142136124597067,0.05555555555555555,0.6403712296983759,0.2505800464037123,0.027842227378190254,0.2537409204210734,0.0031608740173610927,0.5568140031182071,0.7888631090487239,0.4739776951672863,1.0550589522996676,0.6346993977151285,0.04475202903414292,0.044752029034142916,0.02097902097902098,0.6226765799256505,0.26579925650557623,0.03717472118959108,0.26504538252711174,-0.0007538739784644921,0.5934923911125,0.7211895910780669,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.02,87,144,0.5359628770301624,0.9924667952334619,0.5918559784701672,0.030130564759956926,0.03013056475995693,0.05555555555555555,0.6496519721577726,0.2505800464037123,0.030162412993039442,0.25524593485483243,0.004665888451120148,0.5572573069965534,0.7865429234338747,0.4739776951672863,1.0546525254693206,0.6345259996947339,0.043922725929809864,0.043922725929809864,0.02097902097902098,0.6356877323420075,0.26579925650557623,0.03717472118959108,0.2670223126031624,0.0012230560975861615,0.5930859642821527,0.7230483271375465,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.03,87,144,0.5359628770301624,0.9929610353495223,0.5921616440533654,0.029691578766261603,0.029691578766261596,0.05555555555555555,0.665893271461717,0.2505800464037123,0.030162412993039442,0.2567509492885915,0.006170902884879204,0.5577515471126139,0.7819025522041764,0.4739776951672863,1.0543370697594983,0.6343985229993839,0.041260004408825435,0.04126000440882544,0.02097902097902098,0.6561338289962825,0.26579925650557623,0.03717472118959108,0.26899924267921305,0.003199986173636815,0.5927705085723306,0.7230483271375465,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.04,87,144,0.5359628770301624,0.993504546728099,0.5925027089551265,0.03077694922581036,0.030776949225810358,0.05555555555555555,0.6844547563805105,0.2505800464037123,0.030162412993039442,0.2582559637223506,0.0076759173186383145,0.5582950584911904,0.7795823665893271,0.4739776951672863,1.0541085792056297,0.6343169676290789,0.04088991981884697,0.04088991981884698,0.02097902097902098,0.6691449814126395,0.26579925650557623,0.03717472118959108,0.2709761727552637,0.005176916249687469,0.592542018018462,0.7267657992565055,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.05,87,144,0.5336426914153132,0.9940958525876068,0.5928791731754508,0.031373304625317046,0.031373304625317046,0.05555555555555555,0.6844547563805105,0.2505800464037123,0.03248259860788863,0.2597609781561096,0.009180931752397314,0.5588863643506983,0.7795823665893271,0.4721189591078067,1.0539634746785789,0.6342813335838186,0.041772413953426416,0.04177241395342641,0.02097902097902098,0.6821561338289963,0.26579925650557623,0.03903345724907063,0.2729531028313143,0.007153846325738067,0.5923969134914109,0.7342007434944238,False
draw_overlay_draw_score,draw_score,0.4428070519689472,0.08,0.06,87,144,0.5336426914153132,0.994733644045431,0.5932910367143381,0.032769749710396034,0.032769749710396034,0.05555555555555555,0.6937354988399071,0.2505800464037123,0.03248259860788863,0.2612659925898687,0.010685946186156425,0.5595241558085224,0.7819025522041764,0.47026022304832715,1.05389855249252,0.6342916208636027,0.04284222854754915,0.042842228547549134,0.027972027972027972,0.6877323420074349,0.26579925650557623,0.04460966542750929,0.27493003290736495,0.00913077640178872,0.5923319913053521,0.7342007434944238,False
draw_overlay_low_spread,low_spread,0.3809154171711099,0.08,0.01,53,76,0.5336426914153132,0.9915969216165933,0.5913783223831179,0.03169585800847485,0.03169585800847486,0.046296296296296294,0.6380510440835266,0.2505800464037123,0.025522041763341066,0.25312138755968866,0.0025413411559763732,0.5563874333796848,0.7865429234338747,0.4721189591078067,1.0556752021791074,0.635025822001435,0.04301602728048244,0.04301602728048245,0.02097902097902098,0.6152416356877324,0.26579925650557623,0.040892193308550186,0.2640747182389256,-0.0017245382666506437,0.5941086409919395,0.7193308550185874,False
draw_overlay_low_spread,low_spread,0.3809154171711099,0.08,0.02,53,76,0.5336426914153132,0.9915984872635674,0.5914250750106931,0.034110964803052445,0.034110964803052445,0.046296296296296294,0.6403712296983759,0.2505800464037123,0.030162412993039442,0.25400686913206305,0.0034268227283507646,0.5563889990266588,0.7865429234338747,0.47026022304832715,1.0558266421199693,0.6351545654560319,0.04380509340563572,0.04380509340563573,0.02097902097902098,0.6171003717472119,0.26579925650557623,0.04275092936802974,0.26508098402679015,-0.0007182724787860861,0.5942600809328016,0.7174721189591078,False
draw_overlay_low_spread,low_spread,0.3809154171711099,0.08,0.03,53,76,0.5336426914153132,0.9916361603218993,0.5914911031421859,0.034504044751859884,0.034504044751859884,0.046296296296296294,0.6473317865429234,0.2505800464037123,0.030162412993039442,0.2548923507044374,0.0043123043007251005,0.5564266720849906,0.7865429234338747,0.4684014869888476,1.0560138884614763,0.6353049474243583,0.0441603664690437,0.0441603664690437,0.02097902097902098,0.6263940520446096,0.26579925650557623,0.048327137546468404,0.26608724981465465,0.0002879933090784159,0.5944473272743084,0.7156133828996283,False
